Business Name,Phone,Website,Maps Link,Rating,Review Count,Category,Address,Business Age,Opening Hours,Latest Review,Status,Priority,Follow-up Date
The Large Sun (TLS) Event Organizers,098870 24486,https://www.facebook.com/tlseventorganizers/,https://www.google.com/maps/place/The+Large+Sun+%28TLS%29+Event+Organizers/data=!4m7!3m6!1s0x396db47035fe41b3:0xde6828b75c5a0fea!8m2!3d26.8545713!4d75.7611607!16s%2Fg%2F11b6gq3xhr!19sChIJs0H-NXC0bTkR6g9aXLcoaN4?authuser=0&hl=en&rclk=1,4.9,102,Event planner,"A2, Kailashpuri, Near Laxman Juice Center New Sanganer Road,near metro pillar 118",,Open 24 hours,,Not Called,None,
Fiestro Events,078384 26565,https://fiestroevents.com/,https://www.google.com/maps/place/Fiestro+Events/data=!4m7!3m6!1s0x396db360555554dd:0xc7f025cc5215b93e!8m2!3d26.9035737!4d75.7391503!16s%2Fg%2F12m998jx2!19sChIJ3VRVVWCzbTkRPrkVUswl8Mc?authuser=0&hl=en&rclk=1,4.6,395,Event planner,"01st Floor, Plot C-121, Chitrakoot Marg",,Open 24 hours,,Not Called,None,
Shaandaar Events | Best Wedding Planner in Jaipur,094914 25000,https://shaandaarevents.com/wedding-planner-in-jaipur/,https://www.google.com/maps/place/Shaandaar+Events+%7C+Best+Wedding+Planner+in+Jaipur/data=!4m7!3m6!1s0x396db58ea4b6a71b:0x86b7858c392fc316!8m2!3d26.896055!4d75.739239!16s%2Fg%2F11t2z2nshf!19sChIJG6e2pI61bTkRFsMvOYyFt4Y?authuser=0&hl=en&rclk=1,4.9,130,Event planner,·,,Open 24 hours,,Not Called,None,
PURPLE GRAPES EVENTS,070143 29209,http://www.instagram.com/purplegrapes_weddingplanner,https://www.google.com/maps/place/PURPLE+GRAPES+EVENTS/data=!4m7!3m6!1s0x396db40cad2cd6d5:0x73dbbbb703b16b49!8m2!3d26.9015159!4d75.7848276!16s%2Fg%2F11b7xpxzg4!19sChIJ1dYsrQy0bTkRSWuxA7e723M?authuser=0&hl=en&rclk=1,4.8,103,Event planner,·,,Open 24 hours,,Not Called,None,
Vega Star Events - Wedding Planner and Event Planner in Jaipur,094148 33258,https://www.vegastarevents.in/,https://www.google.com/maps/place/Vega+Star+Events+-+Wedding+Planner+and+Event+Planner+in+Jaipur/data=!4m7!3m6!1s0x396db5a53cbd75fd:0xac5fe2b90218f4d2!8m2!3d26.8558519!4d75.7686766!16s%2Fg%2F11ddxfv3mw!19sChIJ_XW9PKW1bTkR0vQYArniX6w?authuser=0&hl=en&rclk=1,4.8,42,Wedding planner,"71/175 Near K.V. No.5, Paramhans Marg, Mansarovar",,Open,,Not Called,None,
Noon Moon Events - Wedding & Event Planners in Jaipur,075682 23594,http://www.noonmoonevents.com/,https://www.google.com/maps/place/Noon+Moon+Events+-+Wedding+%26+Event+Planners+in+Jaipur/data=!4m7!3m6!1s0x396db7d51243c2b1:0xe85c97cd7fcd358!8m2!3d26.9017004!4d75.8379874!16s%2Fg%2F11f6k_lcpl!19sChIJscJDEtW3bTkRWNP813zJhQ4?authuser=0&hl=en&rclk=1,4.8,61,Event planner,·,,Open,,Not Called,None,
AG Events and Wedding Planners,075685 83001,https://ageventsandtent.com/,https://www.google.com/maps/place/AG+Events+and+Wedding+Planners/data=!4m7!3m6!1s0x396db5b0bfe1b0a3:0x2ffb99cb5ad73745!8m2!3d26.8371473!4d75.7536032!16s%2Fg%2F11pz8n65cp!19sChIJo7Dhv7C1bTkRRTfXWsuZ-y8?authuser=0&hl=en&rclk=1,4.8,73,Wedding planner,·,,Open,,Not Called,None,
Dot&Dot Events & Wedding Planner,090575 43603,https://dot-dot-events.localo.site/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,https://www.google.com/maps/place/Dot%26Dot+Events+%26+Wedding+Planner/data=!4m7!3m6!1s0x396db58fb505e5e5:0xa96cdf0bbee60074!8m2!3d26.8421609!4d75.7600864!16s%2Fg%2F11xrlp641s!19sChIJ5eUFtY-1bTkRdADmvgvfbKk?authuser=0&hl=en&rclk=1,5.0,106,Event planner,·,,Open 24 hours,,Not Called,None,
Roshan Events Jaipur - Best Event Management | Best Wedding Planner In Jaipur,095878 08416,https://wa.me/919587808416?text=Hi,https://www.google.com/maps/place/Roshan+Events+Jaipur+-+Best+Event+Management+%7C+Best+Wedding+Planner+In+Jaipur/data=!4m7!3m6!1s0x396db71dd4cc5a2d:0xd101edd5e555dec7!8m2!3d26.8507522!4d75.7911892!16s%2Fg%2F11vrwv577z!19sChIJLVrM1B23bTkRx95V5dXtAdE?authuser=0&hl=en&rclk=1,4.8,80,Wedding planner,·,,Open 24 hours,,Not Called,None,
Festal Events LLP,087400 55114,https://festalevents.com/,https://www.google.com/maps/place/Festal+Events+LLP/data=!4m7!3m6!1s0x396db69cf2cf1e91:0xdd0f0378b171145!8m2!3d26.8796812!4d75.7789419!16s%2Fg%2F11b8075vb9!19sChIJkR7P8py2bTkRRREXizfw0A0?authuser=0&hl=en&rclk=1,4.7,196,Wedding planner,"C-334, 80 Feet Rd",,Open 24 hours,,Not Called,None,
